,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
20,13624,0.6666666666666666,opponent,2.7325704,16.33266,opponent,7.5028863,13.303955,teammate,2.4834344,2.0430586,receiver,8.574786,1.9173627,6.779433437931034,7.130859310344826,1.634487,-3.9802800000000005,0.1734359999999846,0.11604000000001946,0.6112679999999981,0.34946699999999886,2.525820000000003,0.42609899999999756,undef,0,0,0,0,0,,T,0
21,13625,0.7,opponent,2.7870533,16.199984,opponent,7.5086675,13.307823,teammate,2.50381,2.0547075,receiver,8.65898,1.931566,7.023732944827585,6.573346475862069,3.670328999999999,-7.886580000000052,0.15106499999999912,1.1015699999999917,0.41541900000000354,0.9972899999999907,1.9448699999999874,0.8804520000000049,undef,0,0,0,0,0,,T,0
22,13626,0.7333333333333333,opponent,2.9093976,15.937097999999999,opponent,7.513703,13.344542,teammate,2.5176573,2.0879505,receiver,8.723809,1.9609144,7.268032451724137,6.015833641379311,0.0010500000000002174,-2.3099999999999454,0.042882000000004084,0.14876999999998475,-0.04867500000000913,-0.026666999999989116,0.14742000000003586,0.05150100000000046,undef,0,0,0,0,0,,T,0
23,13627,0.7666666666666667,opponent,2.9094326,15.860098,opponent,7.5151324,13.349501,teammate,2.5160348,2.0870616,receiver,8.728723,1.9626311,7.512331958620689,5.458320806896551,3.1285799999999897,-0.02202000000004034,-0.18299100000000124,-0.1841399999999993,0.33867600000000664,1.987082999999994,1.8834299999999793,1.7801759999999978,undef,0,0,0,0,0,,T,0
24,13628,0.8,opponent,3.0137186,15.859364,opponent,7.5090327,13.343363,teammate,2.527324,2.1532977,receiver,8.791504,2.0219703,7.75663146551724,4.900807972413793,2.069043000000006,-1.226429999999965,-0.20093099999997754,-0.9366300000000116,0.4039529999999969,0.8925989999999961,1.872000000000007,0.19811699999999988,undef,0,0,0,0,0,,T,0
25,13629,0.8333333333333334,opponent,3.0826867,15.818483,opponent,7.502335,13.312142,teammate,2.5407891,2.183051,receiver,8.853904,2.0285742,8.000930972413792,4.343295137931035,3.2006669999999993,-0.2923200000000392,0.0941009999999931,0.10752000000000095,0.49949400000000477,0.49673400000000534,1.4952599999999983,1.041663000000006,undef,0,0,0,0,0,,T,0
26,13630,0.8666666666666667,opponent,3.1893756,15.808739,opponent,7.5054717,13.315726,teammate,2.5574389,2.1996088,receiver,8.903746,2.0632963,8.245230479310345,3.7857823034482756,2.7684629999999943,-19.83215999999997,-0.0874170000000074,0.5847149999999957,0.2100269999999993,0.5217569999999938,1.5056699999999879,1.787345999999994,undef,0,0,0,0,0,,T,0
27,13631,0.9,opponent,3.2816577,15.147667,opponent,7.5025578,13.3352165,teammate,2.5644398,2.2170007,receiver,8.953935,2.1228745,8.489529986206895,3.2282694689655176,1.1513550000000095,15.729630000000014,-0.1154339999999987,1.1256150000000353,0.24561600000000183,-0.05835599999999275,0.7273200000000379,-0.2976599999999996,undef,0,0,0,0,0,,T,0
28,13632,0.9333333333333333,opponent,3.3200362,15.671988,opponent,7.49871,13.372737,teammate,2.572627,2.2150555,receiver,8.978179,2.1129525,8.733829493103446,2.670756634482758,0.01586400000000321,-0.012900000000044543,0.0003779999999942163,0.002249999999968111,-0.0018090000000103856,-0.0022260000000073887,-0.0015000000000497948,0.008738999999993169,undef,0,0,0,0,0,,T,0
29,13633,0.9666666666666667,receiver,3.320565,15.671558,teammate,7.4987226,13.372812,opponent,2.5725667,2.2149813,opponent,8.978129,2.1132438,8.978129,2.1132438,2.1061859999999966,-4.828169999999972,-0.11593799999999987,1.1979000000000006,0.09282900000000982,0.1282709999999998,0.7158900000000123,0.4638210000000065,normal,4.198103,13.99746,8.978129,2.1132438,0.7666666666666667,D,B,0
30,13634,1.0,receiver,3.3907712,15.510619,teammate,7.494858,13.412742,opponent,2.575661,2.219257,opponent,9.001992,2.1287045,8.770301782608694,2.629948852173913,1.661279999999996,-4.289940000000012,-0.3740100000000002,-0.14194500000000332,0.23897099999999227,-1.1025299999999927,0.9026700000000076,0.8618849999999956,undef,0,0,0,0,0,,B,0
